web-scraper-order,text,section,topic,urls,userMentions,isReply,emojis,Expression of emotions,Use of humor,Self-disclosure,Referring explicitly to others' messages,Asking questions,"Complimenting, expressing appreciation or criticism",Expressing agreement or disagreement,"Phatics, salutations"
1604198662-928,"Hi did you fix this bug?
",bugreports,Subject 11057234,,,TRUE,,0,0,0,0,1,0,0,1
1604198796-1345,"I have never been  quite certain that the X axis is exactly Y=10. Have you been able to confirm this?
",bugreports,RFE: An easy way to read off feature frequencies,,,,,0,0,1,0,1,0,0,0
1604198776-1275,"
Because I can understand it is of immense interest to you and other GSpiers

As I think is very clear, at least some volunteers are strongly motivated by seeing how quickly a project is moving along, as measured by Completed Subject (retired images, ...). To be sure, our motivations are many, and while there's a commonality, there are also very considerable differences.
Here's a personal one: to me, if a project is going to display ""statistics"" - as all (?) Panoptes-based ones do - it is vital to ensure what's displayed is both accurate and meaningful, OR have an easily accessible source explaining why such info is not (accurate or meaningful). After all, what's the point of having such info so prominent if it's known to be neither accurate nor meaningful? To me, a project which can't get this right is very likely full of all sorts of other bugs and nasties; perhaps the individual stats (i.e. 'mine') are off too? perhaps credit is randomly given out? perhaps some random fraction of my clicks go unrecorded? ... At least in Backyard Worlds there was a response (when I raised these sorts of questions); here?
Don't get me wrong: GS is a fantastic project, not only for its subject (GWR at LIGO), but also for its innovation in the use of ML. However, I am so bemused by why none of the PTB seem to treat the 'stats' question seriously that I rarely spend time here any more ... 
",bugreports,Statistics not updating on Gravity Spy home page,,,TRUE,😦,1,0,1,0,0,0,0,0
1604198884-1593,"And working again.
(A Schrödinger tool, as we'd call it at work here. )
",bugreports,Gravity Spy Tools down,,,,😃,1,1,1,0,0,0,0,0
1604197902-62,"I did occasionally. Reloading the site helps to me. Thanks @eperozzi for reporting.
Another small thing to report: on Level5 the example subjects of the two new classes (1080Hz and 1400Hz ripple) are missing.
@sbc538
",bugreports,Already Seen keeps coming up,/users/eperozzi;/users/sbc538,@eperozzi;@sbc538,,,0,0,0,1,0,0,0,0
1604198861-1514,"Thanks for responding to this comment, it's always nice to know that someone is listening and things just aren't going into a void.
I agree that it's kind of silly to have to mouse back and forth.
Though maybe auto-play isn't the way to go, I think this suggestion warrants more attention. Here are two additional ideas that could remove the need for moving the mouse around.

Having the focus of the browser default to the viewing window so that the arrow keys can be used to toggle between the time scales.
Displaying both the shortest timescale and the longest timescale simultaneously. They could be displayed the same size or one of them smaller than the other with an option to toggle which one is larger.

You mention that in the more advanced levels more time is needed to carefully consider the image and it can't be quickly classified, but for those of thus that are still sitting around level 3, a more streamlined user interface would help us get to those advanced classifications more quickly.
Yes, the current interface is ""good enough"" but that doesn't mean you shouldn't consider improving it, if it can be relatively easily done.
",bugreports,An idea to make the user interaction much faster,,,,,1,0,0,1,0,1,1,0
1604198776-1272,"On top of the fact that GS has no fixed classification count when it comes to subject retirement ...
It also, according to the GS-team, allows for NOTA subject cases to move up from a lower level to a higher level. This last part, for example, makes it a theoretical possibility for level 3 and level 4 to go to 100% completion, while having no effect on the global completion level. In such a case the level 5 completion level would of course go down, to account for the increase in subjects in that level.
(that's L3 => L4 => L5, and not L3 => L5 AND L4 => L5)
Additional note on not having a fixed classification retirement trigger. Is that with a fixed retirement count, single classification actions can be accounted for in the statistics. For a process that, in effect, has a variable & unknown retirement count, you can't (well ... at least not based on counting actual classification actions).
So in effect: GS completion stats are limited to counting subject transition cases. Or: is blind to classification actions that do not result in some kind of subject transition action.


gravity spy completion percentages are always rounded down

Correct (fact, as far as I'm concerned)
rounding
",bugreports,Statistics not updating on Gravity Spy home page,en.wikipedia.org/wiki/Rounding#Rounding_to_integer,,,,0,0,0,0,0,0,0,0
1604198738-1190,"FWIW: I'm approaching 16000 classifications at level 5 (classifications at level 6 don't count for this purpose) with level 7 not yet unlocked, and given that it took about 6000 at level 4 to unlock level 5, I am not yet worried. Having to do 20000 or 36000 would not surprise me. Far be it from me to complain; I'm having fun. 
What I do find a bit odd is that I occasionally see expert-labelled sanity checks from O1 of only some classes but not others:  1400 Ripple, Helix, Light Modulation, Paired Doves, Tomte, and Wandering Line do come up from time to time in level 5.  I have not seen a single expert vetted 1080 Line or Scratchy or Violin Mode Harmonic (or any of the others) in all of level 5, IIRC. Is it still possible to fill in all the blanks in the confusion matrix, or are there some classes for which sanity-check examples are missing entirely from level 5 but which are still being checked for contributors' consistency/confusion...? @sbc538
A minor suggestion for a possible improvement: If the experts could spare the time, could some expert-labelled examples from O3 be added? By now, O3 Subjects vastly outnumber O1 with more being added every day, and even aside from new classes that never came up in O1, they do look a little different: Already the noise background is different enough that I can usually tell an O3 subject from an O1 without even looking at it, just from the corner of the eye. Thus the O1 sanity checks punctuating my mostly-O3 flow are a little distracting - they're too obvious to ever catch me by surprise, and they don't entirely fit the eye-brain calibration needed for the O3 subjects. Diluting them in a pool of newer expert examples would thus make the sanity checking more realistic. E.g. replace some O1 Tomtes with O3 Tomtes. Ideally, add some Crowns and HF bursts, and remove Helix and perhaps Paired Doves from the level 5 matrix (I doubt whether those two have ever re-occurred in O3...?).
Cheers, Gerhard
(NB O1-vintage Paired Doves still do serve one good purpose in level 5 - they act as a reminder to always look at frame 4. But once one has made a habit of this... )
",bugreports,Demoted from seven to one...arrgghh,/users/sbc538,@sbc538,TRUE,😃;😃,1,0,1,0,1,1,0,0
1604198884-1603,"It's working fine again - thanks a lot for the quick response!
",bugreports,Gravity Spy Tools down,,,TRUE,,1,0,0,0,0,1,0,0
1604008614-2318,"You would never guess this is a Lingston ER13 glitch. It looks exactly like a fireball!
",chat,Fireball,/projects/zooniverse/gravity-spy/talk/subjects/28681623,,,,1,0,0,1,0,0,0,0
